International Visitors;World Region;;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;;;Notes:
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TOTAL ALL COUNTRIES;;;44.680.701;39.187.795;35.987.060;34.463.949;38.172.774;49.205.955;50.977.390;56.134.944;58.007.274;55.102.743;60.010.360;63.477.416;66.966.897;71.642.907;75.379.354;77.773.526;76.407.488;77.186.746;79.745.918;79.441.595;19.212.014;22.280.100;50.770.685;66.349.859;72.390.321;;TOTAL All Countries;Canada and Mexico volumes, and the North America and Total All Countries annual volume sums for 2023 and 2024 are subject to revision in February 2026.
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OVERSEAS;;;25.974.701;21.832.868;19.116.707;18.026.213;20.322.257;21.678.528;21.668.290;23.892.277;25.341.451;23.756.184;26.362.616;28.539.631;30.070.908;33.688.677;35.295.842;38.700.150;38.129.404;38.905.524;39.883.361;40.393.346;7.594.470;9.174.707;23.952.957;31.468.481;35.159.249;;OVERSEAS (NET);Canada and Mexico volumes, and the North America and Total All Countries annual volume sums for 2023 and 2024 are subject to revision in February 2026.
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ethiopia;Africa;;5.177;5.382;4.749;5.582;4.975;4.707;6.444;7.782;8.713;8.629;8.630;10.568;11.468;13.854;14.521;15.572;21.135;20.839;22.328;21.890;5.870;15.026;16.508;26.244;31.512;;Ethiopia;
Falkland Islands;South America;;113;99;106;94;74;76;79;64;130;110;51;61;78;93;87;68;60;71;110;87;47;20;110;180;160;;Falkland Islands;
Faroe Islands;Western Europe;;;;;;;;;;;;;;;8;344;333;336;311;331;436;49;20;256;336;416;;Faroe Islands;
Fiji;Oceania;;6.817;5.789;4.112;3.408;3.685;4.893;4.811;5.246;5.133;4.588;6.456;7.096;7.202;8.351;7.473;8.121;8.737;7.330;8.224;8.346;1.390;1.021;7.263;8.996;10.096;;Fiji;
Finland;Western Europe;;93.649;72.864;64.860;67.761;78.612;89.125;87.904;96.173;118.448;114.364;111.840;122.964;126.713;133.887;142.100;155.380;150.704;145.717;141.297;142.405;29.130;12.022;79.288;101.861;106.759;;Finland;
France;Western Europe;;1.087.087;875.854;734.260;688.887;775.274;878.648;789.815;997.506;1.243.942;1.204.490;1.342.207;1.551.027;1.484.732;1.601.301;1.675.898;1.767.343;1.641.152;1.667.506;1.767.461;1.843.782;297.785;222.036;1.317.882;1.592.934;1.706.081;;FRANCE;
French Guiana;South America;;158;168;94;102;181;233;269;303;314;536;612;761;1.063;1.059;1.605;1.378;876;1.075;1.910;2.058;219;93;986;1.272;1.873;;French Guiana;
French Polynesia;Oceania;;3.373;2.293;2.176;2.434;2.831;3.973;3.857;4.777;5.181;7.027;5.237;5.694;3.194;4.294;4.697;2.497;1.885;1.034;2.852;4.185;1.035;1.088;5.978;7.910;8.955;;French Polynesia;
Gabon;Africa;;1.404;1.197;1.031;980;1.062;1.341;1.250;1.466;1.762;1.584;1.793;2.132;2.266;2.435;2.785;2.773;2.679;2.396;2.384;2.363;495;723;1.627;2.037;2.060;;Gabon;
Gambia;Africa;;2.966;2.336;3.382;2.910;2.055;1.868;1.288;1.384;1.381;1.859;2.341;2.378;1.840;2.002;2.010;1.732;1.716;1.662;1.722;1.870;463;741;1.275;1.828;1.919;;Gambia, The;
Georgia;Eastern Europe;;2.173;2.153;2.618;3.106;2.811;2.360;2.583;2.525;2.987;2.966;3.496;3.597;4.041;5.088;7.199;9.177;7.956;2.572;111;10.481;2.462;4.539;7.747;10.557;12.051;;Georgia;
Germany;Western Europe;;1.786.045;1.313.756;1.189.856;1.180.212;1.319.904;1.415.530;1.385.520;1.524.151;1.782.299;1.686.825;1.726.193;1.874.119;1.911.441;2.021.597;2.073.675;2.284.912;2.046.288;2.080.425;2.062.462;2.063.767;293.967;249.154;1.481.008;1.838.481;1.994.786;;GERMANY;
